"Date",                "Activities",        "Hours"
# 三个月 - Django做一个企业级项目
## 一个月 - 看完一本书
### 一个周 - 把公司手上的项目的lower design doc写完
"10/08/2022",          "加班 - Low Level Doc design",               2.0
"10/08/2022",          "运动",               0.5
"10/08/2022",          "看书 - 暗时间",               0.5
"10/09/2022",          "加班 - Low Level Doc design",               2.0
"10/09/2022",          "网课 - 学习Prometheus",               1.0
"10/15/2022",          "运动 - 跑步 4 miles + 篮球",                          1
"10/15/2022",          "学习prometheus",               2.0
"10/16/2022",          "视频剪辑",               3.0
