"Date",                "Activities",        "Hours"
# 三个月 - 跳槽 SDS
## 一个月 - 复习统计知识+Python，统计相关的算法
### 一个周 - 投30份简历 + 面试
"10/08/2022",          "DataCamp-Pandas",       1.0
"10/08/2022",          "梳理project+投简历(10+)", 1.0
"10/08/2022",          "可汗学院-统计学",          1.0
"10/09/2022",          "DataCamp-Pandas",       1.5
"10/09/2022",          "梳理project+投简历(5+)",  1.0
"10/09/2022",          "可汗学院-统计学",          1.0
"10/15/2022",          "DataCamp-join tables",   1.0
"10/15/2022",          "BQ+投简历(10+)",          1.5
"10/15/2022",          "可汗学院-统计学",          1.0
"10/16/2022",          "DataCamp-join tables",   1.0
"10/16/2022",          "SQL",                    1.0
"10/16/2022",          "Company_Search",         1.0
"10/22/2022",          "Take-home Challenge",    3.0
"10/23/2022",          "SQL",                    1.0
"10/23/2022",          "DataCamp--Numpy",        1.0
"10/23/2022",          "BQ",                     1.0
"10/29/2022",          "SQL",                    2.0
"10/29/2022",          "可汗学院-统计学",          1.0
"10/30/2022",          "SQL",                    1.5
"10/30/2022",          "BQ",                     1.0
"10/30/2022",          "投简历",                  1.0

