"Date",         "Name",          "Activities",        "Hours","Notes"
"10/08/2022",   "Infrared628",   "上网课， 跑步",      3.0,      ""
"10/08/2022",   "Liuxueying",    "学英语",             4.0,       ""
"10/08/2022",   "Sunday",        "健身，加班",         4.0,      ""
"10/08/2022",   "Fan",           "考证，瑜伽",         2.0,      ""
"10/08/2022",   "hahaguaa",      "健身",              3.0,      ""
"10/08/2022",   "Dark Knight",   "加班,               4.0,      ""
"10/08/2022",   "Shenhai",       "看书",              5.0,      ""
"10/08/2022",   "Whisky",        "健身， 刷题",        6.0,      ""
"10/08/2022",   "Chloe",         "加班，做饭",         9.0,         ""
"10/08/2022",   "Karen",         "写论文， 家务",      8.0,       ""
"10/08/2022",   "V",             "看书， 跑步",        4.0,       ""
"10/08/2022",   "Infrared628",   "跑步， 加班",        7.0,       ""
"10/08/2022",   "Liuxueying",    "修理屋顶",           5.0,       ""
"10/08/2022",   "V",             "做饭",              5.0,       ""
"10/09/2022",   "Shenhai",       "跑步",              4.0,        ""
"10/09/2022",   "Sunday",        "踢球",              3.0,        ""
